[Exp4_v2, sparse_spike, eps=0.0010, method=spectralstore_thinking, repeat=1/5] done in 8.9s
[Exp4_v2, sparse_spike, eps=0.0010, method=sym_svd, repeat=1/5] done in 0.4s
[Exp4_v2, sparse_spike, eps=0.0010, method=direct_svd, repeat=1/5] done in 0.4s
[Exp4_v2, sparse_spike, eps=0.0010, method=spectralstore_thinking, repeat=2/5] done in 8.1s
[Exp4_v2, sparse_spike, eps=0.0010, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0010, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0010, method=spectralstore_thinking, repeat=3/5] done in 7.8s
[Exp4_v2, sparse_spike, eps=0.0010, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0010, method=direct_svd, repeat=3/5] done in 0.2s
[Exp4_v2, sparse_spike, eps=0.0010, method=spectralstore_thinking, repeat=4/5] done in 7.9s
[Exp4_v2, sparse_spike, eps=0.0010, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0010, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0010, method=spectralstore_thinking, repeat=5/5] done in 7.9s
[Exp4_v2, sparse_spike, eps=0.0010, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0010, method=direct_svd, repeat=5/5] done in 0.2s
[Exp4_v2, sparse_spike, eps=0.0020, method=spectralstore_thinking, repeat=1/5] done in 8.2s
[Exp4_v2, sparse_spike, eps=0.0020, method=sym_svd, repeat=1/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=spectralstore_thinking, repeat=2/5] done in 8.1s
[Exp4_v2, sparse_spike, eps=0.0020, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=spectralstore_thinking, repeat=3/5] done in 8.4s
[Exp4_v2, sparse_spike, eps=0.0020, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=direct_svd, repeat=3/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=spectralstore_thinking, repeat=4/5] done in 7.8s
[Exp4_v2, sparse_spike, eps=0.0020, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=spectralstore_thinking, repeat=5/5] done in 8.2s
[Exp4_v2, sparse_spike, eps=0.0020, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0020, method=direct_svd, repeat=5/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0050, method=spectralstore_thinking, repeat=1/5] done in 7.9s
[Exp4_v2, sparse_spike, eps=0.0050, method=sym_svd, repeat=1/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0050, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, sparse_spike, eps=0.0050, method=spectralstore_thinking, repeat=2/5] done in 8.0s
