[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=ard, eff=3] done in 0.09s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=ard, eff=3] done in 0.09s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=ard, eff=3] done in 0.09s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=ard, eff=3] done in 0.09s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=ard, eff=3] done in 0.09s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=3, mode=ard, eff=3] done in 0.09s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=ard, eff=5] done in 0.13s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=ard, eff=5] done in 0.12s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=ard, eff=5] done in 0.10s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=ard, eff=5] done in 0.13s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=ard, eff=5] done in 0.12s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, exact_low_rank, r*=5, mode=ard, eff=5] done in 0.11s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_exact, eff=3] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=3, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_over, eff=12] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=ard, eff=12] done in 0.08s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_exact, eff=5] done in 0.04s
[ARD diagnostic, sbm_observed, r*=5, mode=fixed_over, eff=12] done in 0.04s
